Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag2,t+1 - t,t - t-1,t+1 - t-1,Price Return lag3,Price Return lag4,Action ID,Target Ticker,Payment Type,Target Industry Sector,Return Used
2014:Q4,1/29/2015,6:00,2.0369,2.03,2.095,1/29/2015,-0.065,-0.032019704,137.77,-2.135154565,-1.19038978,-0.956146657,-2.135154565,-1.1286844,2.667145938,84109023,TWC US,Stock,Communications,-0.956146657
2014:Q3,10/30/2014,6:00,1.8655,1.86,1.899,10/30/2014,-0.039,-0.020967742,142.88,2.406956522,3.030515118,-0.605217391,2.406956522,3.666086957,0.779130435,84109023,TWC US,Stock,Communications,-0.605217391
2014:Q2,7/31/2014,6:00,1.9004,1.89,1.902,7/31/2014,-0.012,-0.006349206,145.1,-3.658697662,0.537560303,-4.17382116,-3.658697662,-2.734117025,-3.982300885,84109023,TWC US,Stock,Communications,-4.17382116
2014:Q1,4/24/2014,6:00,1.7971,1.78,1.674,4/24/2014,0.106,0.059550562,140.4,-0.328876814,-0.705128205,0.378923286,-0.328876814,0.772145564,1.04382641,84109023,TWC US,Stock,Communications,0.378923286
2015:Q1,5/5/2015,7:30,1.4733,1.44,1.542,5/5/2015,-0.102,-0.070833333,88.88,-2.279013165,-0.618811881,-1.670538776,-2.279013165,-1.764575727,-1.117380241,90642478,1448062D US,Cash and Stock,Communications,-1.670538776
2014:Q4,2/19/2015,7:30,1.5697,1.57,1.411,2/19/2015,0.159,0.101273885,87.21,-0.091596061,0.057332875,-0.1488436,-0.091596061,-0.217540646,0.137394092,90642478,1448062D US,Cash and Stock,Communications,-0.1488436
2014:Q3,11/6/2014,7:30,1.2344,1.33,1.299,11/6/2014,0.031,0.023308271,87.48,-0.478250968,-0.091449474,-0.387155545,-0.478250968,-0.626281029,-1.013436575,90642478,1448062D US,Cash and Stock,Communications,-0.387155545
2014:Q2,7/31/2014,7:30,1.601,1.59,1.536,7/31/2014,0.054,0.033962264,86.05,-0.156521739,0.075537478,-0.231884058,-0.156521739,-0.776811594,-1.275362319,90642478,1448062D US,Cash and Stock,Communications,-0.231884058
2018:Q1,1/4/2018,,,,0.4,1/4/2018,,,,,,,,,,125540168,MON US,Cash,Basic Materials,
2017:Q4,10/4/2017,8:09,0.1866,0.2,-0.419,10/4/2017,0.619,3.095,119.75,0.142033587,0.091858038,0.050129501,0.142033587,0.033419667,-0.033419667,125540168,MON US,Cash,Basic Materials,0.050129501
2017:Q3,6/28/2017,8:00,1.7759,1.93,1.767,6/28/2017,0.163,0.084455959,118.75,0.639658849,-0.631578947,1.279317697,0.639658849,0.946695096,0.980810235,125540168,MON US,Cash,Basic Materials,1.279317697
2017:Q2,4/5/2017,8:00,3.2074,3.19,2.792,4/5/2017,0.398,0.12476489,115.31,1.089324619,0.598386957,0.488017429,1.089324619,1.22875817,1.02832244,125540168,MON US,Cash,Basic Materials,0.488017429
2017:Q1,1/5/2017,8:00,0.2149,0.21,0.003,1/5/2017,0.207,0.985714286,105.21,2.931937173,2.775401578,0.152308425,2.931937173,3.712517849,3.227034745,125540168,MON US,Cash,Basic Materials,0.152308425
2016:Q4,10/5/2016,8:00,0.0063,0.07,-0.022,10/5/2016,0.092,1.314285714,103.18,1.321585903,0.310137624,1.008321096,1.321585903,1.18453255,0.802741067,125540168,MON US,Cash,Basic Materials,1.008321096
2016:Q3,6/29/2016,8:00,2.1694,2.17,2.417,6/29/2016,-0.247,-0.113824885,103.52,2.294984667,-0.10625966,2.403798595,2.294984667,0.227520032,-0.830942724,125540168,MON US,Cash,Basic Materials,2.403798595
2017:Q2,7/25/2017,6:00,1.3716,1.38,1.291,7/25/2017,0.089,0.064492754,85.49,0.545346769,-0.795414668,1.351511559,0.545346769,0.284528749,-0.438648488,116885280,DD US,Stock,Basic Materials,1.351511559
2017:Q1,4/25/2017,6:00,1.8851,1.64,1.392,4/25/2017,0.248,0.151219512,82.21,2.822225022,-0.729838219,3.578178153,2.822225022,0.957540632,0.478770316,116885280,DD US,Stock,Basic Materials,3.578178153
2016:Q4,1/24/2017,6:00,0.7302,0.51,0.418,1/24/2017,0.092,0.180392157,76.05,5.344874966,0.815253123,4.49299258,5.344874966,7.158560044,6.760098928,116885280,DD US,Stock,Basic Materials,4.49299258
2016:Q3,10/25/2016,6:00,0.0471,0.34,0.208,10/25/2016,0.132,0.388235294,69.62,-2.081551183,-1.350186728,-0.741374394,-2.081551183,-0.427715997,-0.983746792,116885280,DD US,Stock,Basic Materials,-0.741374394
2016:Q2,7/26/2016,6:00,1.1303,1.24,1.101,7/26/2016,0.139,0.112096774,69.16,0.348432056,-0.0578369,0.406504065,0.348432056,0.522648084,0.421022067,116885280,DD US,Stock,Basic Materials,0.406504065
2016:Q1,4/25/2016,21:00,1.2046,1.26,1.036,4/25/2016,0.224,0.177777778,65.97,2.395028043,2.395028043,0,2.395028043,2.2737608,0.666969835,116885280,DD US,Stock,Basic Materials,2.395028043
2015:Q4,1/26/2016,6:18,0.2886,0.27,0.258,1/26/2016,0.012,0.044444444,53.46,-2.887337233,-3.741114852,0.886959804,-2.887337233,-1.849405548,-0.434044159,116885280,DD US,Stock,Basic Materials,0.886959804
2014:Q4,2/4/2015,16:30,2.1155,2.17,1.829,2/4/2015,0.341,0.157142857,219.42,1.964966419,2.401786528,-0.426574696,1.964966419,2.182791795,1.247957887,96492716,1284849D US,Cash and Stock,"Consumer, Non-cyclical",2.401786528
2016:Q2,7/18/2016,16:19,0.3104,0.45,0.418,7/18/2016,0.032,0.071111111,27.54,2.032667877,2.069716776,-0.036297641,2.032667877,2.250453721,2.395644283,113811828,EMC US,Cash,Technology,2.069716776
2016:Q1,4/20/2016,6:54,0.1715,0.307,0.33,4/20/2016,-0.023,-0.074918567,26.37,3.483365949,0.265453166,3.209393346,3.483365949,3.992172211,3.718199609,113811828,EMC US,Cash,Technology,3.209393346
2015:Q4,1/27/2016,7:02,0.4887,0.647,0.648,1/27/2016,-0.001,-0.001545595,23.9,-0.329218107,1.338912134,-1.646090535,-0.329218107,1.934156379,0.905349794,113811828,EMC US,Cash,Technology,-1.646090535
2015:Q3,10/21/2015,6:58,0.2904,0.429,0.43,10/21/2015,-0.001,-0.002331002,25.77,-6.220443798,0.038804812,-6.256820662,-6.220443798,-5.05638414,-4.801746089,113811828,EMC US,Cash,Technology,-6.256820662
2017:Q1,5/3/2017,7:17,0.8887,0.56,0.568,5/3/2017,-0.008,-0.014285714,64.47,-0.570371512,0.046533271,-0.616617851,-0.570371512,-0.154154463,0.046246339,133826300,RAI US,Cash and Stock,"Consumer, Non-cyclical",-0.616617851
2016:Q4,2/9/2017,7:13,0.9215,0.62,0.602,2/9/2017,0.018,0.029032258,60.54,0.115702479,0.049554014,0.066115702,0.115702479,-0.314049587,-0.79338843,133826300,RAI US,Cash and Stock,"Consumer, Non-cyclical",0.066115702
2016:Q1,5/4/2016,16:15,0.0975,0.03,0.225,5/4/2016,-0.195,-6.5,19.24,6.08561114,6.912681913,-0.773594636,6.08561114,1.598762249,-2.320783909,108532149,WMB US,Cash or Stock,Energy,6.912681913
2015:Q4,2/17/2016,16:15,0.4458,0.01,0.267,2/17/2016,-0.257,-25.7,15.69,6.062624917,1.465901848,4.530313125,6.062624917,3.331112592,7.594936709,108532149,WMB US,Cash or Stock,Energy,1.465901848
2015:Q3,10/28/2015,16:15,0.3823,0.22,0.177,10/28/2015,0.043,0.195454545,38.3,2.215105418,0,2.215105418,2.215105418,5.257539365,5.604483587,108532149,WMB US,Cash or Stock,Energy,0
2015:Q1,4/28/2015,16:05,0.8612,0.86,0.811,4/28/2015,0.049,0.056976744,85.88,-0.919995342,-0.931532371,0.011645511,-0.919995342,-1.304297193,-1.391638523,104526923,KRFT US,Cash and Stock,"Consumer, Non-cyclical",-0.931532371
2014:S1,7/18/2014,11:06,1.8533,1.525,,7/18/2014,,,4996,3.433208489,-0.50040032,3.953391594,3.433208489,3.100291303,3.558052434,92723527,SHP LN,Cash and Stock,"Consumer, Non-cyclical",3.953391594
2014:Q3,10/27/2014,7:00,1.7123,1.78,1.765,10/27/2014,0.015,0.008426966,182.33,-0.874002497,0.148083146,-1.020574345,-0.874002497,1.389718256,2.839150969,90176880,1284849D US,Cash and Stock,"Consumer, Non-cyclical",-1.020574345
2014:Q2,7/21/2014,8:00,1.4705,1.51,1.438,7/21/2014,0.072,0.047682119,171.14,1.810035842,-0.414865023,2.234169654,1.810035842,3.004778973,1.893667861,90176880,1284849D US,Cash and Stock,"Consumer, Non-cyclical",2.234169654
2014:Q1,5/7/2014,9:00,1.0813,1.18,1.125,5/7/2014,0.055,0.046610169,165.87,-1.737614238,-1.471031531,-0.270562771,-1.737614238,-3.018278018,-3.968253968,90176880,1284849D US,Cash and Stock,"Consumer, Non-cyclical",-0.270562771
2016:Q4,2/22/2017,16:53,-0.2773,-0.3675,0.221,2/22/2017,-0.5885,-1.601360544,38.03,-2.062387213,-0.105180121,-1.959267853,-2.062387213,-2.784222738,-2.861562258,135586803,9876456D US,Stock,Energy,-0.105180121
2016:Q4,2/2/2017,6:00,1.7817,1.87,1.735,2/2/2017,0.135,0.072192513,148.29,1.124356543,0.681097849,0.440260092,1.124356543,-0.413167163,0.176104037,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",0.440260092
2016:Q3,11/3/2016,6:00,1.8485,1.94,1.909,11/3/2016,0.031,0.015979381,117.31,3.224437845,3.699599352,-0.458209588,3.224437845,7.127704709,9.266016122,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",-0.458209588
2016:Q2,7/29/2016,6:00,1.9006,1.98,2.374,7/29/2016,-0.394,-0.198989899,128.96,-6.765203324,-1.682692308,-5.169497757,-6.765203324,-8.721229502,-8.375615854,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",-5.169497757
2016:Q1,5/6/2016,6:00,2.2197,2.32,2.155,5/6/2016,0.165,0.07112069,130.85,-2.630993849,0.405043943,-3.023790113,-2.630993849,-1.393315052,-3.275772623,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",-3.023790113
2015:Q4,2/4/2016,6:00,1.8502,1.87,1.794,2/4/2016,0.076,0.040641711,134.77,0.41509434,-1.276248423,1.713207547,0.41509434,-5.690566038,-3.260377358,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",1.713207547
2015:Q3,11/6/2015,6:00,2.1844,2.28,2.197,11/6/2015,0.083,0.036403509,132.81,0.407854985,0.097884195,0.309667674,0.407854985,1.397280967,-0.445619335,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",0.309667674
2015:Q2,7/30/2015,6:00,2.4599,2.55,2.248,7/30/2015,0.302,0.118431373,143.9,-0.928409325,0.111188325,-1.038443023,-0.928409325,-1.409806753,-1.045320129,108532089,CI US,Cash and Stock,"Consumer, Non-cyclical",-1.038443023
2014:Q3,10/15/2014,16:06,0.6328,0.57,0.629,10/15/2014,-0.059,-0.103508772,86.29,6.911677534,4.508054236,2.299940723,6.911677534,6.591582691,9.365737996,94796648,KMP US,Cash and Stock,Energy,4.508054236
2017:S1,7/26/2017,7:03,11.2875,11.286,,7/26/2017,,,441.25,0.963718821,0.906515581,0.056689342,0.963718821,1.133786848,0.963718821,107828625,SYNN SW,Cash,Basic Materials,0.056689342
2016:A,2/8/2017,7:00,16.4124,17.03,16.386,2/8/2017,0.644,0.037815619,,,,,,,,107828625,SYNN SW,Cash,Basic Materials,
2016:S1,7/22/2016,7:00,12.8718,12.875,13.987,7/22/2016,-1.112,-0.086368932,393.9,1.779267664,0.203097233,1.572975761,1.779267664,1.624548736,1.650335224,107828625,SYNN SW,Cash,Basic Materials,1.572975761
2015:Q1,1/22/2015,8:00,1.1228,1.11,1.051,1/22/2015,0.059,0.053153153,,,,,,,,92508720,COV US,Cash and Stock,"Consumer, Non-cyclical",
2014:Q4,11/5/2014,6:00,1.1022,1.15,1.019,11/5/2014,0.131,0.113913043,93.32,0.619363251,-0.771538791,1.401716831,0.619363251,0.05433011,1.749429534,92508720,COV US,Cash and Stock,"Consumer, Non-cyclical",1.401716831
2014:Q3,7/25/2014,6:00,1.0348,1.04,1.004,7/25/2014,0.036,0.034615385,87.79,-2.244668911,-0.785966511,-1.470258137,-2.244668911,-2.199775533,-2.132435466,92508720,COV US,Cash and Stock,"Consumer, Non-cyclical",-1.470258137
2017:Q3,10/25/2017,20:00,0.4565,1.848,1.678,10/25/2017,0.17,0.091991342,116.49,-0.145560408,0.111597562,-0.256871307,-0.145560408,0.119873277,-0.051374261,134117432,NXPI US,Cash,Technology,0.111597562
2017:Q2,8/2/2017,20:00,0.2399,1.5073,1.511,8/2/2017,-0.0037,-0.00245472,110.88,-0.396039604,-0.198412698,-0.198019802,-0.396039604,1.188118812,1.674167417,134117432,NXPI US,Cash,Technology,-0.198412698
2017:Q1,5/3/2017,20:01,0.9161,1.4,1.345,5/3/2017,0.055,0.039285714,105.79,0.964447806,0.93581624,0.028366112,0.964447806,0.775340393,1.077912254,134117432,NXPI US,Cash,Technology,0.93581624
2016:Q4,2/1/2017,20:01,1.5568,1.76,1.653,2/1/2017,0.107,0.060795455,97.75,1.185487992,1.289002558,-0.102197241,1.185487992,1.645375575,2.248339295,134117432,NXPI US,Cash,Technology,1.289002558
2017:Q3,10/23/2017,8:30,0.3225,0.3231,0.3,10/23/2017,0.0231,0.071494893,18.97,-0.682056663,-0.210859251,-0.472193075,-0.682056663,-1.128016789,-0.839454355,148361426,ABE SM,Cash or Stock,"Consumer, Non-cyclical",-0.472193075
2012:A,3/5/2013,7:02,1.0211,1.238,1.164,3/5/2013,0.074,0.059773829,1174,5.684402001,-1.022146508,6.775807185,5.684402001,4.547521601,5.547976353,61456766,XTA LN,Stock,Basic Materials,6.775807185
2012:S1,8/7/2012,7:00,0.8815,0.745,0.495,8/7/2012,0.25,0.33557047,896.9,3.340883352,1.739324339,1.574178935,3.340883352,4.756511891,4.994337486,61456766,XTA LN,Stock,Basic Materials,1.574178935
2010:Q3,10/28/2010,6:00,1.2093,1.32,0.387,10/28/2010,0.933,0.706818182,146,-2.832674572,1.02739726,-3.820816864,-2.832674572,-2.042160738,-3.642951252,47540247,POT CN,Cash,Basic Materials,-3.820816864
2016:Q4,2/17/2017,6:30,0.2736,0.29,0.306,2/17/2017,-0.016,-0.055172414,41.09,-0.120743782,0.657094184,-0.772760203,-0.120743782,-0.241487563,-0.99009901,131517981,1539941D US,Stock,Energy,-0.772760203
2016:Q3,11/2/2016,6:30,0.3138,0.31,0.258,11/2/2016,0.052,0.167741935,40.38,-4.758488761,-1.362060426,-3.443328551,-4.758488761,-4.280248685,-0.765184122,131517981,1539941D US,Stock,Energy,-3.443328551
2014:A,2/26/2015,,6.9127,15.75,7.636,2/26/2015,8.114,0.515174603,105.5,0.568181818,0.663507109,-0.09469697,0.568181818,1.609848485,1.704545455,101233858,13 HK,Stock,Diversified,0.568181818
2017:A,3/8/2018,,,,7.543,3/8/2018,,,,,,,,,,135989249,LIN GR,Stock,Basic Materials,
2017:Q3,10/27/2017,7:30,1.475,1.9,1.818,10/27/2017,0.082,0.043157895,189.047,-0.839979819,-2.273508704,1.466878495,-0.839979819,-0.560344365,0.992410662,135989249,LIN GR,Stock,Basic Materials,1.466878495
2017:Q2,7/28/2017,7:30,1.6846,2.0037,1.837,7/28/2017,0.1667,0.083196087,161.752,-2.814112818,-0.463054553,-2.361995594,-2.814112818,-1.909274741,-2.775480639,135989249,LIN GR,Stock,Basic Materials,-2.361995594
2017:Q1,4/28/2017,7:30,1.7132,1.77,1.797,4/28/2017,-0.027,-0.015254237,164.236,2.090939469,0.453615529,1.629930323,2.090939469,2.999962872,4.711575352,135989249,LIN GR,Stock,Basic Materials,1.629930323
2016:A,3/9/2017,6:30,6.5616,7,7.249,3/9/2017,-0.249,-0.035571429,152.2,-0.592351847,-0.32325887,-0.269965665,-0.592351847,-0.748302886,-0.014415642,135989249,LIN GR,Stock,Basic Materials,-0.269965665
2014:Q4,4/24/2013,7:00,,,-0.221,4/24/2013,,,7.09,0.563380282,0.705218618,-0.14084507,0.563380282,0.281690141,0.281690141,69794386,0848680D US,Cash,Communications,-0.14084507
2013:Q1,4/24/2013,7:00,-0.21,,-0.413,4/24/2013,,,7.09,0.563380282,0.705218618,-0.14084507,0.563380282,0.281690141,0.281690141,69794386,0848680D US,Cash,Communications,-0.14084507
2012:Q4,2/7/2013,7:00,-0.44,-0.44,-0.377,2/7/2013,-0.063,-0.143181818,5.74,0,0.522648084,-0.519930676,0,0.346620451,2.426343154,69794386,0848680D US,Cash,Communications,-0.519930676
2012:Q3,10/25/2012,7:00,-0.26,-0.26,-0.219,10/25/2012,-0.041,-0.157692308,5.52,-2.31316726,-0.543478261,-1.779359431,-2.31316726,-1.245551601,-0.177935943,69794386,0848680D US,Cash,Communications,-1.779359431
2015:Q4,1/27/2016,8:01,1.1759,1.3,1.241,1/27/2016,0.059,0.045384615,69.89,1.75616836,0.314780369,1.436865022,1.75616836,2.322206096,1.872278665,115507603,NSC US,Cash and Stock,Industrial,1.436865022
2014:Q4,4/24/2013,7:00,,,-0.221,4/24/2013,,,7.09,0.563380282,0.705218618,-0.14084507,0.563380282,0.281690141,0.281690141,76063127,0848680D US,Cash and Stock,Communications,-0.14084507
2013:Q1,4/24/2013,7:00,-0.21,,-0.413,4/24/2013,,,7.09,0.563380282,0.705218618,-0.14084507,0.563380282,0.281690141,0.281690141,76063127,0848680D US,Cash and Stock,Communications,-0.14084507
2012:Q1,5/3/2012,7:45,0.1744,0.2,0.27,5/3/2012,-0.07,-0.35,29.78,-2.244965335,-0.570852921,-1.683724001,-2.244965335,-1.617695609,-1.749752394,58485814,EP US,Cash and Stock,Energy,-1.683724001
2011:Q4,2/27/2012,Bef-mkt,0.5275,0.21,0.293,2/27/2012,-0.083,-0.395238095,27.66,2.35640648,0.506146059,1.840942563,2.35640648,2.393225331,3.460972018,58485814,EP US,Cash and Stock,Energy,1.840942563
2011:Q3,11/2/2011,7:44,0.1754,0.18,0.253,11/2/2011,-0.073,-0.405555556,24.81,1.05605199,0.282144297,0.771730301,1.05605199,1.380991064,1.096669374,58485814,EP US,Cash and Stock,Energy,0.771730301
2016:Q2,10/22/2015,3:01,2.49,2.49,2.944,10/22/2015,-0.454,-0.182329317,230.7,-0.42336271,-0.086692674,-0.336962157,-0.42336271,-0.544323484,-0.311041991,110928256,PCP US,Cash,Industrial,-0.336962157
2016:Q1,4/28/2016,8:00,0.4714,0.47,0.453,4/28/2016,0.017,0.036170213,40.89,2.818627451,2.592320861,0.220588235,2.818627451,3.284313725,3.62745098,110691580,BXLT US,Cash and Stock,"Consumer, Non-cyclical",0.220588235
2015:Q4,2/16/2016,6:40,0.1717,0.57,0.555,2/16/2016,0.015,0.026315789,39,3.723816912,2.846153846,0.853374709,3.723816912,1.861908456,1.913628136,110691580,BXLT US,Cash and Stock,"Consumer, Non-cyclical",0.853374709
2015:Q1,4/30/2015,7:00,-0.0881,-0.33,-0.41,4/30/2015,0.08,0.242424242,65.33,4.829996822,0.994948722,3.797267239,4.829996822,4.607562758,2.73276136,89627126,LG FP,Stock,Industrial,3.797267239
2014:A,2/18/2015,9:00,1.6664,2.04,1.54,2/18/2015,0.5,0.245098039,66.2,1.461538462,-0.377643505,1.846153846,1.461538462,1.169230769,2.215384615,89627126,LG FP,Stock,Industrial,1.846153846
2014:Q3,11/5/2014,7:00,0.9395,0.76,1.115,11/5/2014,-0.355,-0.467105263,54.21,3.417505221,0.479616307,2.923865578,3.417505221,4.89842415,6.588190621,89627126,LG FP,Stock,Industrial,2.923865578
2014:S1,7/25/2014,7:47,0.4011,0.244,0.245,7/25/2014,-0.001,-0.004098361,61.2,-0.468800517,0.604575163,-1.066925315,-0.468800517,-0.98609764,-5.366957646,89627126,LG FP,Stock,Industrial,-1.066925315
2014:Q1,5/6/2014,7:00,-0.4605,-0.493,-0.335,5/6/2014,-0.158,-0.320486815,63.86,-4.639878696,-1.518947698,-3.169067475,-4.639878696,-3.851402578,-4.33661865,89627126,LG FP,Stock,Industrial,-3.169067475
2017:Q3,10/23/2017,8:30,0.3225,0.3231,0.3,10/23/2017,0.0231,0.071494893,18.97,-0.682056663,-0.210859251,-0.472193075,-0.682056663,-1.128016789,-0.839454355,143951251,ABE SM,Cash,"Consumer, Non-cyclical",-0.472193075
2017:S1,7/26/2017,8:46,0.4016,0.4362,,7/26/2017,,,16.95,0.53699284,-0.589970501,1.133651551,0.53699284,-0.596658711,-0.417661098,143951251,ABE SM,Cash,"Consumer, Non-cyclical",1.133651551
2011:Q4,2/21/2012,6:30,1.1497,1.25,1.166,2/21/2012,0.084,0.0672,63.19,-2.265271051,-0.996993195,-1.281049836,-2.265271051,0.062490236,0.203093267,56336194,MHS US,Cash and Stock,"Consumer, Non-cyclical",-1.281049836
2011:Q3,10/26/2011,6:30,0.9557,1.07,1.049,10/26/2011,0.021,0.019626168,52.13,15.76480614,4.239401496,11.05666809,15.76480614,18.23604602,16.87260332,56336194,MHS US,Cash and Stock,"Consumer, Non-cyclical",11.05666809
2014:Q3,10/29/2014,Aft-mkt,0.077,0.06,0.266,10/29/2014,-0.206,-3.433333333,52.7,-0.930851064,-1.043643264,0.113981763,-0.930851064,-2.070668693,-0.208966565,97736272,9123456D US,Stock,Energy,-1.043643264
2017:Q2,8/2/2017,8:00,0.4592,0.4611,0.372,8/2/2017,0.0891,0.193233572,59.26,-2.748091603,-3.25683429,0.525869381,-2.748091603,-2.663273961,-2.88379983,134130638,LVLT US,Cash and Stock,Communications,0.525869381
2017:Q1,5/3/2017,16:15,0.3742,0.34,0.362,5/3/2017,-0.022,-0.064705882,60.42,-5.72407045,-4.319761668,-1.467710372,-5.72407045,-6.001304631,-3.033268102,134130638,LVLT US,Cash and Stock,Communications,-4.319761668
2016:Q4,2/8/2017,16:15,0.3159,0.7133,0.442,2/8/2017,0.2713,0.380344876,57.55,-0.945342042,0.139009557,-1.082846339,-0.945342042,-0.756273634,-0.292196631,134130638,LVLT US,Cash and Stock,Communications,0.139009557
2015:C3,4/21/2015,16:03,0.6226,,,4/21/2015,,,192.82,1.726575121,4.501607717,-2.65549273,1.726575121,1.79220517,-2.620153473,105221016,PRGO US,Cash and Stock,"Consumer, Non-cyclical",4.501607717
2015:Q3,10/22/2015,6:05,1.7897,1.76,1.721,10/22/2015,0.039,0.022159091,147.68,-3.008245298,1.956933911,-4.869878897,-3.008245298,-0.624838959,0.650605514,105221016,PRGO US,Cash and Stock,"Consumer, Non-cyclical",-4.869878897
2015:Q2,8/5/2015,7:46,0.6034,2.18,1.957,8/5/2015,0.223,0.102293578,189.65,-1.258917331,-0.743474822,-0.519303399,-1.258917331,-0.225556022,1.757238775,105221016,PRGO US,Cash and Stock,"Consumer, Non-cyclical",-0.519303399
2015:Q1,4/21/2015,16:03,0.6186,1.85,1.775,4/21/2015,0.075,0.040540541,192.82,1.726575121,4.501607717,-2.65549273,1.726575121,1.79220517,-2.620153473,105221016,PRGO US,Cash and Stock,"Consumer, Non-cyclical",4.501607717
2017:Q3,10/27/2017,,0.0344,,0.07,10/27/2017,,,11.4,0.357781753,-1.578947368,1.967799642,0.357781753,-0.894454383,2.504472272,150866547,762 HK,Cash,Communications,0.357781753
